post_content,model_usefulness,моя оценка със санкция,разлика,категоризиране
"""За жалост новото поколение е такова, че няма интерес към книгите. С технологиите свикват по светкавичен начин да получават информация и просто няма начин да се заседят с книга в ръка. Дъщеря ми е на 16г. и не чете! Аз, като четящ човек, първите години съм й чела книжки всеки божи ден без изключение. Към момента тя има богат речник и богато въображение. Но уви - не иска да посегне към книга… Казва ми, че й е скучно да седи и да чете, че много бавно се развива историята. Ето част от детските книжки, които са ми любими, а бяха любими и на нея: Маншон, Полуобувка и Мъхеста брада Пинокио Алиса в сраната на чудесата Костенурчето Франклин Класическите приказки на братя Грим, Шарл Перо, Андерсен едва ли е нужно да ги споменавам. Руски приказки. Книжките за ето това таралежче са с уникални илюстрации и хубав текст https://www.ozone.bg/instantsearchplus/result/?q=%D0%BA%D1%80%D0%B8%D1%81%D1%82%D0%B8%D0%BD%D0%B0%20%D0%B1%D1%8A%D1%82%D0%BB%D1%8A%D1%80 Книгите на Анна Казалис за едно зайче Флопси. Не ги намирам за купуване. Но ето тук са на първите две предложения. https://www.bing.com/images/search?q=%D0%BA%D0%BD%D0%B8%D0%B3%D0%B0+%D1%84%D0%BB%D0%BE%D0%BF%D1%81%D0%B8+%D1%81%D0%B5+%D1%81%D1%82%D1%80%D0%B0%D1%85%D1%83%D0%B2%D0%B0&id=436B7961B09B702649E509B1304FACE0CE2CDD72&form=IQFRBA&first=1&cw=1850&ch=940&disoverlay=1 """,0.7,0.5,0.20,Надценен
"""Моите и двамата пиеха вечер АМ до 2 години и половина и сами се отказаха… Със спането нямат проблеми,дори през почивните дни всички спим на обяд(ММ и баткото по час,ние с малкия може и над 2 да изкараме).Вечер се ляга в 21 и се гасят всички лампи и източници на светлина.До 21:30 сме заспали, сутринта се става между 6:30-7:00.Този режим го държа още от големия и за нищо на света не търпи промени (единствено лятото може да се ляга в 22 и да се става в 7:30).""",0.7,0.6,0.10,Ок
"""Прочетох ""Замразеното време"" на Анна Ким. Историята е за издирването на отвлечена млада жена по време на войната в Косово, която не се завръща у дома и е безследно изчезнала. За спомените и паметта, за смъртта и травмата от загубата, за мястото на мъртвите в живота на останалите. Малка книжка, странно написана с много рязко прехвърляне от едно време към друго. ""Повече, отколкото обичам живота си"" на Давид Гросман. Роман по действителен случай за разбития от една дълго пазена тайна живот на три поколения жени, за страданието, мъката, любовта и изцелението. Хареса ми. Започвам ""Тихи години"".""",0.6,0.65,-0.05,Ок
""""" Бабо разкажи ми спомен"" и ""Тъй рече баба Ега"" на Ивинела Самуилова. Винаги когато съм напрегната си ги чета и ме успокояват на секундата. "" Съкровището в сребърното езеро "" на Карл Май. Прочетох я за пръв път в 7-ми клас и досега не ми е омръзнала. ""Дракула"" на Брам Стокър . И тази ми е любима от ученическата възраст. "" Аз вещицата "" на Дебора Харкнес.""",0.3,0.6,-0.30,Подценен
"""Във Фейсбук членувам в много книжни групи - търся, предлагам, чета, детски, спаси и др. подобни, главно от любопитство хората, от какво се интересуват и да взема някоя идея, какво да купя на дъщеря си. Забеляза съм няколко лоши тенденции. Има потребители, които членуват в няколко групи. В едната се нареждат ""на опашка"" да вземат някоя книжка без пари, и в друга, да предложат същата книжка на корична или на завишена цена. Аз самата съм изпращала безплатно книжки на уж нуждаещи се хора и после съм виждала същите потребители да ги продават в други групи. Имала съм и случаи, в които не ходят да си вземат пратката и аз плащам доставките и в двете посоки. Става ми жал наистина, като виждам, колко семейства не могат да си позволят да купят, каквото и да е за дечицата си, било книги, дрешки или играчки, но е факт, че е трудно да се отсее, кой наистина иска да притежава дадено нещо и няма средства да го купи, и кой го прави с желание за печалба. Затова и не подарявам вече на непознати хора. Преди няколко дена имаше обява в една група за ""Коледа в Хогуортс"" за 80 лв., защото е с изчерпан тираж и човекът се възползва да припечели някой лев. Мен това много ме дразни, но пък има и хора, които са склонни да дадат и повече пари. Друг пример пак в същата група - една жена предлагаше ""Коледните патила на Доналд Дък"" на 25 лв. Първо, че книгата я има навсякъде, второ - коричната й цена е 19.90. Ако мине… Аз за книги може да се каже, че пари не пестя. Купувам страшно много книги за мен, а вече и за дъщеря ми. Но е факт и че на корична цена не купувам, а само с отстъпка. В една друга група за детски книги много често се разисква, дали книгите трябва да се купуват на промоция. 80 % от мненията са от рода на ""Не може да се сложи цена на познанието"", ""Книгите не са стока"", ""Аз за детето си пари няма да пестя"", ""Сандвичите, колко пари стрували"", ""Колко средства и любов се влагали, за да излизали книги, които да зарадват нашите деца"" и др. подобни. Аз не смятам, че обичам книгите или детето си по-малко, ако искам да спестя пари. Например ""Дъкбург"" са общо 5 книги до момента и са по 59 лв. - общо 295 лв. само за 5 книги. Всичките съм ги взела с отстъпка от 30 %, освен последната, която я взех само с 10 %. Спестила съм 76 лв само от тези книги и ще вложа спестените или в нещо друго или ще си купя още книги. На издателствата не им дреме аз, с какъв бюджет разполагам и слагат безбожни цени. Да не говорим, че и повечето издатели не плащат нито на редактори, нито на коректори, и в много от случаите не са на ясно и какво издават.""",0.8,0.65,0.15,Надценен
"""При нас също имат 2 раници. Една там с резервни дрехи и една, която всеки ден носи с бутилка и пантофи. В петък им връщат пижамите и в понеделник ги носят пак. Имаше период като ходеше на плуване и с трета раница с неща за там. Държаха просто да са достатъчно големи, за да може да побират и чифт дрехи вътре, ако се е наложило да ги връщат.""",0.6,0.35,0.25,Надценен
"""Минавам да споделя за Елементарните частици на камерна сцена в Народния. Не знам откъде да започна, като цяло съм фен на класическия театър, това определено не може да се нарече класически, но ме впечатли. Антиутопчната идея за модерния свят, в който човек бива дехуманизиран, науката е минала всякакви граници и достигнала до безкрайни възможности, клонирането е възможно, а вярата в Бог загубва своя смисъл и бива отречена. Всичко това през историите на двама братя и техните лпбовни трепети. Сексуалната тематика е доста застъпена, има няколко вулгарни момента, но някак си се приемат. Страхотна игра на Мартин Димитров, много ме впечатли това момче, разбира се Теодора Духовникова беше отново неповторима. Имаше едно слабо звено за моя вкус и това беше една млада актриса, която въобще не ми въздейства, не ме докосна по никакъв начин, видях после, че се казва Жаклин Даскалова. Може би още няма много натрупан опит, но просто беше слаба играта ѝ. Сценография, костюми, декори- всичко беше жестоко и много на ниво. Препоръчвам определно.""",0.8,0.7,0.10,Ок
"""Здравейте, към края на ""Раят зад страха"" съм. Изключително много ми харесва. Става въпрос за преодоляване на тревожността, паническите разстройства, страха и напрежението. Има упражнения и полезна информация за всяка седмица. Също така има и линкове с материали и медитации. #BGMammaЧете !++|IMAGE|++! Започнах я по препоръка на баща ми. Заслужава си!""",0.7,0.6,0.10,Ок
"""За финалното гласуване - според мен е добре да бъдат включени първите пет постановки /в краен случай всички получили повече от един глас/ събрали най-много гласове до края на този месец. По отношение на броя гласове, които могат да се дават при гласуване - не повече от 2-3 гласа, ако имаме около 10 постановки, или 1 глас в случай, че трябва да се избира между 4-5.""",0.6,0.1,0.50,Много надценен
"""По роман на Ишигуро е направен филмът ""Остатъкът от деня"" с Антъни Хопкинс и Ема Томпсън.""",0.3,0.2,0.10,Ок
"""За Аушвиц и за Равенсбрюк се разказва в ""Не се казвам Мириам"" на Майгул Акселсон. Основната тема на книгата е по-различна - за преследването на циганите, вкл. избиването им в нацистките концлагери, но лагерите са само част от историята. Мен лично много ме впечатли тази книга. Също продължавам с ""Потъналите и спасените"" на Примо Леви - авторът е италиански евреин, който е прекарал около година в Аушвиц.""",0.7,0.6,0.10,Ок
"""Миналата седмица ми беше доста наситена откъм театър. Освен на "" Метаморфози "", което вече доста ви го похвалих, бях и на ""Когато гръм удари, как ехото заглъхва"" и ""Безкрайните сцени"" в Народния театър. За "" Когато гръм удари.. ."" - на мен лично не ми допадна, много ми се щеше да свърши по-скоро, даже на два пъти си погледнах часовника, което рядко ми се случва по принцип. Страшно много драма, която наистина ми дойде в повече. Трудно го издържах. Не можах изобщо да повярвам на тези образи и техните чувства, не ме докоснаха. Иначе актьорите бяха добри, хубава сценография и костюми, но нещо му липсваше. За "" Безкрайните сцени "" - доста приятно, даже неочаквано за мен. Зрителите се събират на страничния вход, където им се връчват слушалки и обиколката започва от фонтана пред театъра, след което се влиза през централния вход и се обикаля част от театъра (не през цялото време се стои със слушалки). Тук обаче си мисля, че времето навън трябва да е приятно, без да вали дъжд/сняг, за да се получи. Разказва се за историята на театъра, през какво е преминал, за опожаряването му, как е възстановен, за актьорите от онова време, дори как репетират ""Когато гръм удари…"" (което точно предния ден гледах) и т.н. Актьорите се справят чудесно, интересно разказват. Много харесах Параскева Джукелова, както и Владислав Павлов (страхотна енергия блика от него, много чаровен и интересен човек). Имаше и родители с деца на около 8-9 години и мисля че им беше интересно. Пък и хубавото е, че няма нужда децата да стоят на едно място. Има и интеракция с публиката, която също има малко участие в пиесата. Бих я препоръчала като нещо нестандартно и интересно. П.С Юни се очертава запълнен с представления и при мен. 😀""",0.9,0.75,0.15,Надценен
""" Да, със всеки от наличните. Универсално е за четците на Boox. Разбира се първо трябва да се пейрне към съответния четец. Т.е. четецът трябва да сe ""чифтоса"" с дистанционното. Нали става дума за блутут устройства. А за ""държачка"" за четеца - аз имам ето такава стойка: !++|IMAGE|++! Тя е удобна за бюро или маса, но ми се струва, ме не е удобна за легло или диван""",0.6,0.55,0.05,Ок
"""Снощи гледах ""Последното изкушение на Христос"" - гостуване на варненския театър в Младежкия. Премиерата във Варна беше в началото на септември, а за премиерен месец се счита октомври, така че представлението е съвсем ""прясно"" и емоцията у артистите още се усеща. (Признавам, че това си е някакъв мой бръмбар - предпочитам да гледам представленията до към десетата им постановка, докато все още ""горят"" и не са влезли в рутина). Много ми хареса, нямам абсолютно никакви забележки. Режисура, сценография, хореография, актьорска игра - отлични. Както е характерно за варненския театър - вметват кратки хумористични акценти в точния момент, за да разтоварят напрежението след някаква тежка сцена. На мен това много ми допада, а и на тях винаги им се получава. Искам специално да похваля Богдан Григоров - Гринго в ролята на Исус. Гледала съм го в 2-3 постановки, не ми беше направил някакво специално впечатление, освен с ръста и осанката си. Но тук прави страхотна роля, която го показва като много зрял и завършен артист. Игра на лицето, игра на тялото, артикулация, дикция - много сериозна работа е положена, стои убедително на сцената. Нестандартен е неговият Исус - витален, гневен, извисяващ се с една глава над останалите, с мощен глас. Затова и страданията му са по-експанзивни, колебанията в настроенията - по-крайни. Много хубава постановка, препоръчвам я. Не знам кога ще гостуват пак в София, но се надявам след препълнената зала снощи, да дойдат пак. Слагам в текст малко снимки от официалната им галерия. !++|IMAGE|++! !++|IMAGE|++! !++|IMAGE|++! !++|IMAGE|++! """,0.8,0.65,0.15,Надценен
"""Супер, откога чакам любимата ми тема 💛 Моите тазгодишни номинации са: 1. ""Забравените в неделя"" - Валери Перен 2. ""Влакът на сираците"" - Кристина Бейкър Клайн 3. ""Чистка"" - Софи Оксанен 4. ""Тайният живот на пчелите"" - Сю Монк Кид 5. ""Изкуството на победата"" - Филип Найт""",0.4,0.25,0.15,Надценен
"""EmBrother, благодаря за оценката, но далеч не се чувствам специалист в творчеството на Тилие, просто ме впечатли достатъчно, за да чета и потърся малко странична информация Освен реалния Пластинариум, за който беше писал, има още един подобен такъв, два са в Европа, явно това се харесва на някои хора, и аз се чудя защо; Тилие освен това изглежда има достатъчно добър интерес и проучвания по темата за психо-травматичните отклонения, а относно извратените “творци” - лично аз предпочитам да не ги бях проверявала в Гугъл… Ако ви се четат кървави истории - Джон Гуин и Джо Абъркромби могат да ви предложат такива. Последният има и доста добро мрачно чувство за хумор, изненадващо разтоварващо четиво обаче може да се окаже, ако имате нагласа за такъв жанр.""",0.6,0.6,0.00,Ок
"""“Английската кухня на мис Елайза” от Анабел Абс. Нова""придобивка"" от панаира. #BGмамачете""",0.3,0.15,0.15,Надценен
"""Не е случайна приказката - щастлива майка, щастливо дете. До 3г децата са отражение на родителите си, особено на психиката. Но както вече ви написаха, яслата не е спасение - първо, защото най-вероятно ще боледува по-често и качественото връщането на работа е под въпрос, освен ако не ползвате баби или бавачка и второ, защото като си го взимате вечер, ще трябва тепърва да го обгиржвате, да играете, да приготвяте вечеря, да четете приказки и т.н., което след натоварен работен ден си е предизвикателство. Винаги го има и въпроса как точно ги гледат в яслата и какво е отношението към детето. Освен това децата растат страшно бързо и времето с тях никога не е достатъчно, дори и сега да ви се струва другояче. Така, че помислете добре кой би бил най-добрият вариант за вас и вашето дете.""",0.7,0.6,0.10,Ок
"""Изслушани - 1. Наемателката - не лоша кримка 2. Среднощната библиотека - Стори ми се леко мудна историята , но посланието и замисъла ми харесаха. 3. 1984 / преразказаната и озвучена версия на Сторител - чела съм книгата в оригинал, и бих казала ,че не е лоша вариация / 4.Мамник / признавам ,чак сега , и то защото ми подариха книгата на хартия , която толкова ме запали , че за да стигна до развръзката постоянно четях или слушах/ , Владо обяви продължението ,което излиза на 10 април ! 5. Похищението на Ани Торн - тотален римейк на гробище за домашни любимци на стероиди , но без таланта на Книг.. , ще дам шанс и на Тебеширения човек все пак. 6. И най - накрая дадох шанс на - Преди Шерлок , на 2 част съм и ми харесва - явно имам неизчерпаема нужда от господин Хоумс и д-р Уотсън .. Дори и без блестящия изказ на гениалния Артър Конан Дойл.""",0.6,0.65,-0.05,Ок
"""Не съм фен на “Терапията”… може би книгите на Франк Тилие (но почнете в правилния ред за четен ), серията за Калеб Траскман ще бъдат подходящи.""",0.4,0.35,0.05,Ок
""" Чета, да, освен това електронните книги се появяват доста по-късно след хартиените. А и в момента има толкова промоции, че тя може да излезе на съвсем прилична цена и да си я купите. Очаквайте да се появи след поне половин година най-късно.""",0.3,0.2,0.10,Ок
"""Аз вчера гледах ""Лабиринт"" във Възраждане. Прекрасен Свежен, чух пред театъра да обсъждат, че си доигравал представленията, тъй като вече е част от МГТ, дано все пак като гост продължи да играе във Възраждане. За мен той и Ръсин са звездите на театъра. Та, да се върна на представлението. Много тежка тема, пиесата е по-книга- „Цветя за Алджърнън"", сигурно някой от вас са я чели, аз не бях. Става въпрос за операция на мозъка на мишка, след което решават да направят такава и на умствено изостанал човек и пиесата проследява какво се случва с него след това. Ще дам оценка 5/5, въпреки че леко я повишавам, но давам малко от мен, защото успя да ме докосне емоционално. Хареса ми играта на Свежен, много, бил е номиниран за Аскеер за тази роля, но Мутафчиев е спечелил през 2021 г. Сценографията с екраните, с представянето на спомените също ми хареса. Ивайло Драгиев беше с много малка роля, обаче я изигра страхотно. Жена му - Християна от Айде бг, която не е професионална актриса имаше записани сцени, които само се излъчваха и тя също беше супер. Като цяло имаше някои силно емоционални и докосващи моменти, други не толкова, на места беше и малко мудно. Някои от актьорите никак не ми хареса как играха. Също така Ивайло, който играе сравнително към края не излезе за поклона, знам, че има бебе, вероятно и ангажимент е имал, но на мен това винаги ми прави лошо впечатление. Ръсин и Боян Младенов играха в началото, но останаха и излязоха за поклона. И тук имаше 2 биса, мисля, че се хареса на публиката.""",0.8,0.6,0.20,Надценен
"""Здравейте, след поредното миене, размесване на косата, сушене и пр., което отнема към 3 часа, си мисля, че аз не се справям добре. Дъщеря ми е с коса до под кръста, подстригвана е 2 пъти сериозно - на 8 месеца нула номер, заради операция на главата, когато и без това беше обръсната частично, косата ѝ беше до под брадичката. Вторият път беше, когато косата ѝ беше до средата на гърба, но не даваше да я сресвам и станаха фитили на места. Тогава я подстригах до 1-2 см, на нивото на фитилите, съвсем късо. Много беше нещастна. После пак ѝ порасна косата, няколко пъти краищата сме вземали, но пак е трудна за ресане, търпи, защото не иска къса коса, но много мрънка при ресане. Използвам задължително балсам или маска при миене на косата, за да мога да я среша, след като стигнахме до фитили. При сложен балсам/маска, започвам от краища разресването на малки участъци, после над вече разресаното реша, докато я среша цялата. Косата близо до вратлето най-трудно я реша, най-много я боли. После слагам и спрей за разресване, до следващото къпане я разресвам, пръскайки заплитанията със спрея или с вода, да не се натрупват много наслагвания по косата. Като маски и балсами използвам какво и аз използвам - Пантен, Дав и пр., спрейове на Бочко или за възрастни, детски шампоан. Вие как се справяте, какви продукти ползвате? Има ли някоя маска, която да разплита косата, да улеснява много разресването?""",0.8,0.65,0.15,Надценен
"""Няма разлика за първи път или за пореден подавате. От ЛЛ имунизации, справка за доходите за 12 месеца назад на вас и бащата на детето, копие на удостоверение за банкова сметка. Заявление декларация""",0.3,0.6,-0.30,Подценен
"""Дочетох каквото е издавано последните 2 години на Бюджолд (две за Пенрик и ""Knife's children"" от ""Споделящият нож""). Пенрик+Дездемона заприличаха бетер на Олд Шетърхенд. ""Децата на ножа"", учудващо за мен, е за Бар и щерка му, която се споменава в самия край на четвъртата книга.""",0.3,0.5,-0.20,Подценен
"""Моите номинации: 1. ""Тайната история"", Дона Тарт 2. ""Чай в пустинята"", Пол Боулс 3. ""Капитан Михалис"", Никос Казандзакис Може би ще допълня до края на месеца.""",0.3,0.2,0.10,Ок
""" Напротив, смесват ги. Поне в София. Имам опит с 3 ясли. Приемът става според набора, но после групите са смесени. А иначе дали бих пуснала детето си на 1г и половина - ами нямах избор. Синът ми и малката ми дъщеря тръгнаха на ясла точно на 1г и половина (първа ясла). Но ако имах възможност щях да ги пусна направо за втора ясла (т.е. след навършени 2г.).""",0.7,0.6,0.10,Ок
""" Принципно тя си е вградена към самото импортиране към библиотеката. Обаче хич не и вярвам. В смисъл не съм гледал как работи ""под капака"", но мисля че проверява дубликати на метадата (име и автор) ниво т.е. ако имаме две книги, които са автор ""123"" и име ""ABC"" ги дава дубликат. Обаче може да греша и да имат и други проверки. Сега като импортирам партиди по 30 хиляди книги примерно, ми дава накрая че 100-200 от тях са със същите имена и автор на вече съществуващи книги в библиотеката и дали искам да ги прескоча. Имайки предвид бройката на книги с които работя в момента, ги прескачам автоматично, въпреки че между два дубликата, единия може да е с по-добър превод от другия, а аз така да запазя този с по-лошия превод. Също има и отделни плъгини за това (но не съм стигнал до там, още импортирам тези 50 000+ книги) [video] https://www.youtube.com/watch?v=iUkbKD2miGQ [/video] Иначе аз правя ""побитови"" проверки за дубликати отделно с външни програми. Примерно ""Anti-Twin 1.8d"", ""Easy Duplicate Finder v5.28.0.1100"", ""Wise Duplicate Finder Pro 1.3.6.44"" и прочие. Те още преди импорта в Calibre ми казват дали имам пълни дубликати някъде на мета ниво, които са с различни имена на файла. Също процента на дублиране може да се свали от 100% на 95% или нещо такова и тогава разпознава книги които пак са едни и същи но с малка разлика в метадатата. Тъй като тя е част от самия epub файл (част е от файл metadata.opf който влиза вътре), това малко променя съдържанието на цялата книга спрямо проверката. Но дето се вика това за сега са белите кахъри. В смисъл буквално всеки час откривам нещо ново, което малко ми обезсмисля цялата работа преди това. За пример, вчера осъзнах че цялата база данни от chitanka.info може да се свали свободно. Има поне 4 начина за това, като може да свалиш директно само EPUB файловете, или един ""chitanka-content"" архив, който съдържа файлове позволяващи ти да вдигнеш Читанка като локален сървър с всичко необходимо. В момента имам 52 612 epub книги директно от chitanka по този начин, което е далеч по-добър източник от онези MEGA архиви, тъй като не съм сигурен там някой да не е правил други промени (къде за по-добре, къде за по-зле). Та сега се опитвам да сегрегирам всички книги на две разклонения - такива които ги има в читанка и такива които не са налични там (но ги има по тези MEGA клаудове) и от там да продължа с ""полирането"" (на английски му казват polishing на тези промени на метадата, които правя). Обаче с 50 000+ книги малко трудно взе да се работи. Calibre буквално клекна вчера след едни 35 000+ книги импорт. Влачи ги 8-9 часа някъде преди да влязат в библиотеката. Днеска на 50 000+ не знам какви молитви ще прави 😃 П.П. И реших да вкарам малко ChatGPT проверки, да спести време. С един питон скрипт правя експорти на авторите, които имам към определена партида и му ги подавам. Алгоритъмът прави проверка дали това са имена на реални автори или някаква глупости заради скапана метадата и тези които не са ок ми ги подава обратно към което се задейства друг скрипт и просто трие тези папки. Губят се книги така, обаче на бройка като 60 000+ книги нямам друг избор. Пък и да намериш името и автора на книгата ""sd34874r3gb2348trg"" писана от ""lovech"" е доста тегаво.""",0.9,0.8,0.10,Ок
"""Вече е минало доста време, но да напиша - дименхидринат на хапчета, много сме доволни. Натриевия цитират също е добър - както сиропа, така и хапчетата. Хидратин алфа, за да се избегне обезводняването. Деган на ампули съм пила аз, при най-тежките случаи на мигрена, на детето не смея да давам още, нищо че на ръст и тегло е вече по-голяма от мен.""",0.6,0.6,0.00,Ок
""" Едното няма връзка с другото. Ниската раждаемост в днешно време е проблем в почти всички развити страни (и в цяла Европа). Преди са се раждали повече деца, защото : детската смъртност е била много висока, децата са били работна ръка, не е имало контрацепция, абортите са били забранени, жените са си седяли вкъщи и вкупом с баби и лели са гледали деца. В днешно време не искат деца защото : жените искат да се развиват и не им се занимава с бебета/малки деца в продължение на години, искат да осигурят всичко на детето още преди да се е появило (ако не могат да осигурят това ""всичко"" за още едно дете, не го планират изобщо), планетата вече е пренаселена и куп др. Факт - една двойка планира деца, когато е преценила, че може да се грижи за тях. Аз пък не разбирам тези, които раждат и после си оставят децата на баби и стринки и хукват по кафета, екскурзии и дискотеки да си починат от децата. Но както писах, тук темата е друга - как се справят майките без помощ. Следователно едва ли е подходящо съветите да са от сорта - ""впрягай родата да помага"".""",0.7,0.4,0.30,Надценен
"""Мъжът ми смени батерията на моя, даже 1 година по- стар. Поръчахме батерията от китайците, в интернет има много видеа как се прави. Единственото сложно нещо беше нуждата от някаква много малка отверка, май с 6 лъча. По видеата е показано.""",0.7,0.55,0.15,Надценен
"""Предложете му за пишкането да го прави прав, като мъжете - малко баща му може да се включи с пример 😉 Обикновено като се заиграят забравят да си казват за пиш-а. Подканяйте го от време на време. Например преди излизане, преди лягане, след хранене… Нека си изгради навици кога се пишка (освен когато ти се пишка), за да нямате изненади и по разходки или в колата, примерно.""",0.7,0.6,0.10,Ок
""" Животът, който загърбваме , Алън Ескенс * Тъжна свобода , Фридерике Гьосвайнер * Последна молитва , Боян Боев * Чамкория , том 1/Милен Русков * На лов за дребна щука , Юхани Карила *""",0.2,0.2,0.00,Ок
"""Давам отзив за Не забравяйте да се подпишете в Младежкия. Непретенциозна, леко забавна, много кратка постановка. Христо Гърбов е велик! Актрисата Симона Бакалова не ми е позната и играта не беше нещо впечатляващо. Младите актьори повече ми харесаха. Като цяло препоръчвам на тези които искат нещо разтоварващо, комично и не толкова дълго. Иначе не бих препоръчала. Знам, че е тема за театър, но съм ужасно възмутена. И искам да споделя за концерта вчера на Placido Domingo Jr - Volver - Anima Tango в НДК. Залата с миризма на мухъл и седалки за мини хора няма да я коментирам. Гардеробиери - няма. За първи път ми се случва толкова много хора да си тръгнат преди края. Да не говорим, че след като се поклониха и показаха, че е спектакъла е приключил, хората си затръгваха, се оказа, че има още 15 мин. и Доминго-син слезе в публиката. Билетите както се досещате не са евтини, а залата беше пълна. Представление точно час и 30 мин.! Можеха малко повече да се раздадат, като се има предвид, че не пяха с антракт и се редуваха в пеенето и танците. Хореография пълна пародия. Осветлението си светеше на автоматик, където падне там. Тъмнина! Част от музикантите бяха скрити зад някакъв параван, по време на представянето излизаше техническо лице и оправяше техниката. Ще припадна! Нищо общо няма с клипа, който гледах в yout, за да знам какво да очаквам - нямаше роял, акордеона дори не го видях дали го има… Да не говорим, ме самият Доминго син нито харизмата, нито осанката на баща си има. Пълно разочарование! Предходната седмица грузинския балет гледахме. Без декор, без нищо. Не знам нещокуца при организаторите според мен. Иначе самото представяне беше красиво и приятно за гледане и слушане.""",0.7,0.6,0.10,Ок
